Type,carbon_12_13,nitrogen_14_15
M,55.7,536
M,55.8,944
M,55.8,3273
X,55.9,75
M,55.9,908
M,55.91,1497
M,56.00,5814
M,56.0,1004
M,56.0,8072
M,56.06,1310
M,56.07,2717
M,56.08,327
M,56.1,4737
M,56.13,812
M,56.2,1090
M,56.3,555
M,56.32,1086
M,56.39,834
M,56.4,705
M,56.40,3425
M,56.4,5312
M,56.4,1709
M,56.46,308
M,56.47,1383
M,56.47,332
M,56.5,183
M,56.55,444
U,56.6,111
M,56.58,924.27
M,56.61,280
M,56.6,11527
M,56.7,305
M,56.76,1377
M,56.8,3593
M,56.82,742
M,56.87,1176
X,56.92,167.2
M,57.0,1623
M,57.0,1340
M,56.97,1115
M,57.03,494.54
M,57.16,489
M,57.2,13399
M,57.2,1453
M,57.2,5551
M,57.26,1155
M,57.3,6389
Z,57.3,660
M,57.3,969.62
M,57.30,3472
M,57.4,1976
M,57.41,1578
M,57.5,1512
M,57.47,5356.11
M,57.47,902
M,57.49,701
M,57.5,1475.87
M,57.5,434
M,57.5,1333
M,57.6,2318
M,57.60,576
M,57.6,536.78
M,57.6,2048
M,57.6,296
M,57.7,244
M,57.7,435
M,57.75,564
M,57.80,897
M,57.8,1728
M,57.84,1134
M,57.86,430.2
M,57.87,399
M,57.89,676
M,57.9,931.57
M,57.91,2709
M,57.94,378
M,57.9,1146
M,57.99,4252
M,58.0,2058
M,58.1,4438
M,58.1,1361
M,58.12,285
M,58.13,1801
M,58.1,2256
M,58.2,2453
M,58.19,435
M,58.22,2011
M,58.27,880
M,58.31,705
M,58.3,728
M,58.38,895
M,58.40,1914
M,58.51,396
M,58.55,1339
M,58.61,1261
M,58.6,8475
M,58.66,735
M,58.7,1174
M,58.69,413.14
M,58.79,1938.35
M,58.8,421
M,58.92,315
M,59.2,1008
M,59.2,470
M,59.2,736
M,59.25,748
M,59.3,912
M,59.30,4032
M,59.31,470
M,59.3,2003
M,59.38,396
M,59.39,692
M,59.4,13737
M,59.5,4667
M,59.54,906.96
M,59.58,924
M,59.6,903
M,59.61,1863.78
M,59.63,494
M,59.7,2136
M,59.73,1733
M,59.7,4858
M,59.8,3897
M,59.8,9316
M,59.77,302
M,59.78,1761
M,59.8,2487
M,59.81,357
M,59.8,1365
M,59.9,546
M,59.85,1008
M,59.9,3848
M,59.9,4049
M,59.88,269
M,59.91,2169
M,59.9,3363
M,60.0,5344
M,59.97,745
M,60.0,1941
M,60.00,5747
M,60.12,576
M,60.1,5656
M,60.2,3021
M,60.20,1942
M,60.22,1283
M,60.3,319
M,60.31,716
M,60.34,569.88
M,60.43,1416
M,60.5,1023
M,60.5,2435
M,60.6,4115
M,60.57,3288
M,60.6,2113
M,60.62,1381.92
M,60.6,6018
M,60.6,603
M,60.67,4556
Z,60.7,3258
M,60.75,718.71
M,60.77,1199
M,60.83,3560.59
M,60.9,2723
M,60.89,764
M,60.89,2183
M,60.89,2974
M,60.9,320
M,60.9,809
M,60.93,1121
M,60.95,2039
Z,61,4927
M,61.0,2069
M,61.03,1530
M,61.05,1431
M,61.1,1909
M,61.14,3769
M,61.1,3510
M,61.15,1219
M,61.17,1143
M,61.18,1761
M,61.2,1493
M,61.22,597
M,61.22,1776
M,61.2,3388
M,61.2,5574
Z,61.24,1189.83
