PGD Type,Type,Grain Label,Meteorite,12C/13C,err+[12C/13C],err-[12C/13C]
M,M,M8-2-17,Murchison,52.01,0.57,0.56
M,M,KJE-a2-6-9,Murchison,52.01,0.32,0.32
M,M,WF_4#1.8,Murchison ,52.00,0.84,0.84
M,M,KJE-a1-25-20,Murchison,52.00,0.31,0.31
M,M,SiC#12,Sahara 97167,52,0.4,0.4
M,M,KJB2-9-5-13,Murchison,52,0.53,0.53
M,M,M26a-286-2,Murchison,51.99,2.09,1.93
M,M,Muri11B-164-2,Murchison,51.99,1.30,1.24
M,M,M7@4_5_1_mg_14,Murchison ,51.98,0.36,0.36
M,M,M7b@2_26_1_mg_13,Murchison ,51.98,0.93,0.93
M,M,Muri11B-42-7,Murchison,51.98,3.35,2.97
M,M,KJG4-f021,Murchison,51.98,1.28,1.28
M,M,M26a-228-6,Murchison,51.98,3.54,3.11
M,M,M26a-412-2,Murchison,51.98,1.59,1.49
M,M,M26a-392-6,Murchison,51.98,1.82,1.70
M,M,KJE014,Murchison,52.0,2.2,2.2
M,M,KJG4@045,Murchison,51.97,0.80,0.80
M,M,KJE-a2-28-6,Murchison,51.95,0.30,0.30
M,M,M26a-225-6,Murchison,51.95,0.95,0.92
M,M,M26a-66-1,Murchison,51.95,1.93,1.80
M,M,M33b-71-4,Murchison,51.95,8.41,6.35
M,M,M26a-85-15,Murchison,51.94,2.48,2.26
M,M,LS+LU-28,Murchison,51.94,0.51,0.51
M,M,M26a-401-3,Murchison,51.94,1.51,1.43
M,M,WF_6#8.10,Murchison ,51.93,0.76,0.76
M,M,M7@15_44_1_mg_3,Murchison ,51.93,0.89,0.89
M,M,KJE031,Murchison,51.9,2.7,2.7
Z,Z,KJB2-3-7-20,Murchison,51.92,0.94,0.94
M,M,KJB2-7-2-4,Murchison,51.92,0.52,0.52
Z,Z,KJB2-9-1-2,Murchison,51.92,0.41,0.41
M,M,KJB2-13-27-1,Murchison,51.92,0.28,0.28
M,M,KJB2-13-27-2,Murchison,51.92,0.37,0.37
M,M,M26a-113-16,Murchison,51.91,1.31,1.25
M,M,M26a-30-10,Murchison,51.91,1.31,1.25
M,M,KJE254,Murchison,51.9,1.2,1.2
M,M,KJB2-L-2,Murchison,51.91,3.67,3.67
M,M,KJGN10-02-4,Murchison,51.91,0.26,0.26
M,M,KJE248,Murchison,51.9,1.4,1.4
M,M,M33c-268-1,Murchison,51.91,0.69,0.67
M,M,M26a-388-8,Murchison,51.91,1.66,1.56
M,M,M26a-165-4,Murchison,51.90,1.48,1.40
M,M,C6,Chainpur,51.9,1.3,1.3
M,M,M26a-80-4,Murchison,51.89,3.38,2.99
M,M,KJE-a1-13-3,Murchison,51.87,0.32,0.32
M,M,KJE-a2-72-2,Murchison,51.87,0.26,0.26
M,M,M7b@3_29_1_mg_5,Murchison ,51.87,0.36,0.36
M,M,M42-100-10,Murchison,51.87,1.34,1.27
M,M,M26a-128-15,Murchison,51.87,2.39,2.19
M,M,M26a-13-1,Murchison,51.87,2.63,2.38
M,M,M42-215-2,Murchison,51.86,1.33,1.26
Z,Z,M33b-209-4,Murchison,51.86,2.32,2.13
M,M,KJB2-3-10-1,Murchison,51.86,0.83,0.83
M,M,KJB2-11-2-9,Murchison,51.86,0.49,0.49
M,M,KJG2-143,Murchison,51.86,0.73,0.73
M,M,M26a-164-4,Murchison,51.86,1.41,1.34
M,M,C4,Chainpur,51.9,0.3,0.3
M,M,M26a-277-5,Murchison,51.85,1.28,1.22
M,M,KJE-a2-27-13,Murchison,51.85,0.27,0.27
M,M,M33-55-1,Murchison,51.84,2.63,2.39
M,M,M7b@1_6_1_mg_11,Murchison ,51.84,1.25,1.25
M,M,KJE213,Murchison,51.8,1.6,1.6
M,M,WF_5#9.2,Murchison ,51.84,0.65,0.65
M,M,M33b-179-3,Murchison,51.83,1.20,1.15
M,M,M42-194-1,Murchison,51.83,1.19,1.14
Z,Z,KJE-a1-9-6,Murchison,51.83,0.25,0.25
M,M,Muri11B-243-4,Murchison,51.82,1.92,1.78
M,M,Muri11B-439-1,Murchison,51.81,0.98,0.94
M,M,M7b@3_33_1_mg_18,Murchison ,51.81,0.86,0.86
M,M,Muri11B-351-1,Murchison,51.81,0.81,0.79
M,M,M8-1-2,Murchison,51.81,1.27,1.21
M,M,Muri11B-9-10,Murchison,51.81,2.19,2.02
M,M,KJG4-f122,Murchison,51.81,4.46,4.46
M,M,KJE651,Murchison,51.8,2.8,2.8
M,M,KJE-C-Si-6-10,Murchison,51.81,0.24,0.24
M,M,M42-207-1,Murchison,51.80,1.36,1.29
M,M,Org-344,Orgueil,51.8,0.6,0.6
M,M,region2_17_1_9,Indarch,51.8,0.4,0.4
M,M,KJGN10-63-1,Murchison,51.80,0.36,0.36
M,M,Muri11B-152-3,Murchison,51.80,1.26,1.20
M,M,M42-154-1,Murchison,51.79,1.11,1.07
M,M,M26a-393-9,Murchison,51.79,1.25,1.19
M,M,KJG4-#2301,Murchison,51.79,1.27,1.27
M,M,Muri11B-27-6,Murchison,51.79,2.42,2.21
M,M,M33-107-8,Murchison,51.78,1.94,1.81
M,M,WF_3#21.11,Murchison ,51.78,0.32,0.32
M,M,M33b-238-8,Murchison,51.78,1.95,1.81
M,M,KJG4-f222,Murchison,51.77,0.81,0.81
M,M,M33b-106-4,Murchison,51.77,3.75,3.27
M,M,KJF-8,Murchison,51.8,1.2,1.2
M,M,KJB2-8-6-5,Murchison,51.77,0.52,0.52
M,M,M42-158-9,Murchison,51.77,1.33,1.26
M,M,M26a-187-22,Murchison,51.76,1.63,1.54
M,M,M33b-3-6,Murchison,51.76,1.41,1.33
M,M,M26a-68-12,Murchison,51.76,1.06,1.01
M,M,M33b-68-1,Murchison,51.75,0.74,0.72
M,M,M33b-127-11,Murchison,51.75,1.67,1.57
M,M,WF_3#20.17,Murchison ,51.75,0.53,0.53
M,M,M33b-134-2,Murchison,51.75,2.37,2.17
M,M,KJE713,Murchison,51.8,3.6,3.6
M,M,KJB2-13-20-1,Murchison,51.75,0.23,0.23
M,M,M26a-112-8,Murchison,51.75,1.52,1.44
M,M,M26a-69-8,Murchison,51.75,3.57,3.14
M,M,WF_6#18.1,Murchison ,51.74,0.40,0.40
Z,Z,M26a-51-2,Murchison,51.74,1.87,1.75
M,M,M8-8-24,Murchison,51.74,0.54,0.53
M,M,M26a-231-2,Murchison,51.74,2.78,2.51
M,M,WF_4#2.9,Murchison ,51.73,0.82,0.82
M,M,M33b-166-4,Murchison,51.73,1.28,1.22
M,M,KJB2-3-17-17,Murchison,51.73,1.33,1.33
M,M,M7@8_30_1_mg_8,Murchison ,51.73,1.12,1.12
M,M,Muri11B-308-1,Murchison,51.72,0.81,0.78
M,M,M26a-124-1,Murchison,51.72,1.57,1.48
M,M,M26a-224-10,Murchison,51.72,1.82,1.70
M,M,M26a-56-18,Murchison,51.71,1.58,1.49
M,M,WF_3#16.1,Murchison ,51.71,0.79,0.79
M,M,M26a-126-23,Murchison,51.70,1.79,1.68
M,M,M7b@3_19_1_mg_2,Murchison ,51.70,0.62,0.62
Z,Z,M7b@3_45_1_mg_15,Murchison ,51.70,0.77,0.77
M,M,KJB2-3-20-6,Murchison,51.7,1.01,1.01
M,M,Muri11B-63-1,Murchison,51.70,2.12,1.96
M,M,KJE-a2-14-7,Murchison,51.70,0.28,0.28
M,M,KJE-a2-36-7,Murchison,51.70,0.36,0.36
M,M,KJE-a2-51-1,Murchison,51.70,0.25,0.25
M,M,Muri11B-462-4,Murchison,51.68,1.15,1.10
M,M,KJB2-10-4-5,Murchison,51.68,0.46,0.46
