Type,12C/13C,errplus12C13C,errminus12C13C
2,96.4,4.9,4.9
2,96.41,4.96,4.5
6,96.4,1.71,1.71
2,96.37,5.63,5.63
2,96.37,0.5,0.5
2,96.34,7.32,7.32
4,96,26,17
2,96.29,2.74,2.74
2,96.28,1.57,1.57
2,96.27,0.58,0.58
2,96.26,0.49,0.49
2,96.25,3.19,3.19
2,96.2,3.4,3.4
2,96.23,0.5,0.5
2,96.22,7.97,7.97
2,96.22,1.75,1.75
4,96.2,0.51,0.51
2,96.19,2.77,2.61
2,96.16,1.05,1.05
2,96.12,4.81,4.81
4,96.1,4.17,3.84
2,96.08,1.26,1.26
2,95.98,3.62,3.62
2,95.93,0.96,0.96
2,95.92,1.69,1.69
5,95.9,3.73,3.46
2,95.9,1,1
2,95.89,1.31,1.31
2,95.87,0.52,0.52
2,95.86,1.41,1.41
2,95.8,11.6,9.3
2,95.84,0.78,0.78
7,95.8,2.3,2.3
2,95.8,0.6,0.6
2,95.78,4.77,4.77
2,95.73,2.32,2.32
2,95.72,4.27,3.92
2,95.72,0.7,0.7
2,95.7,2.46,2.34
2,95.6,2.5,2.5
2,95.6,2.34,2.34
2,95.6,0.55,0.55
2,95.6,0.6,0.6
2,95.6,0.7,0.7
4,95.6,4.2,3.86
2,95.6,2.9,2.9
2,95.58,2.45,2.45
2,95.54,1.43,1.43
2,95.48,0.78,0.78
2,95.46,3.15,3.15
2,95.37,1.49,1.49
2,95.32,8.47,8.47
2,95.3,0.7,0.7
2,95.29,6.3,5.56
2,95.22,1.89,1.89
2,95.22,0.67,0.67
2,95.13,0.82,0.82
2,95.11,0.48,0.48
6,95.1,1.4,1.4
2,95.07,1.51,1.51
2,95.04,4.21,4.21
2,95.03,1.05,1.05
2,95.03,1.44,1.44
2,95,9.6,9.6
4,95,2,2
2,95,0.7,0.7
2,95,1.5,1.5
2,94.99,1.84,1.84
2,94.99,0.58,0.58
2,95,7.6,7.6
7,94.96,1.16,1.16
2,94.94,0.86,0.86
2,94.85,2.05,2.05
2,94.85,3.59,3.59
2,94.81,4.83,4.38
2,94.79,2.59,2.59
2,94.79,1.4,1.4
2,94.8,4.4,4.4
4,94.71,3.91,3.61
